PC1,PC2,Cluster,player,team,team_logo
0.41327283427016315,0.8483419831729875,10,Davante Adams,NYJ,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png
0.28404984592350896,-0.24941892207768135,4,Jordan Addison,MIN,https://a.espncdn.com/i/teamlogos/nfl/500/min.png
-0.39087864892742796,-0.11090406256417364,8,Brandon Aiyuk,SF,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png
0.122482598981207,1.499341764001348,3,Keenan Allen,CHI,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png
-1.2611710238516072,-0.37917665287244834,8,Rashod Bateman,BAL,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png
-1.2926502998992047,0.3658319199516472,8,Kayshon Boutte,NE,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png
0.41825543499051737,1.9354347730617896,3,Tyler Boyd,TEN,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png
-1.9208024669408974,-1.9381235571649704,1,A.J. Brown,PHI,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png
-1.6271562321414075,1.2658389985974583,8,Noah Brown,WAS,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png
0.6781635426639434,-1.5506585888896125,10,Ja'Marr Chase,CIN,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png
-2.4350544768657145,-1.7751734947131117,1,Keon Coleman,BUF,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png
-0.7308817313592976,1.5473625744122466,8,Amari Cooper,BUF,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png
-1.0361708736057893,0.9388853613443938,4,Gabriel Davis,JAX,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png
1.9453956085746587,-0.07655501631624241,5,Tank Dell,HOU,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png
1.2329092111521982,0.4340561299974072,10,Stefon Diggs,HOU,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png
0.779161915371613,0.31770222651642754,4,Jahan Dotson,PHI,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png
-0.8794122820328317,0.6489819910289547,8,Romeo Doubs,GB,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png
